"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
14.7978,124.74,-23.7268,59.4642
22.9974,140.141,-27.9684,85.5327
20.6688,47.1263,-51.5096,58.2495
21.4056,76.1526,-63.9258,92.0103
17.3598,103.599,10.0207,72.9781
15.2563,118.931,-36.1789,99.8045
11.6561,55.3544,-21.6044,79.9571
6.77903,64.5396,-101.028,68.1502
69.3497,60.0107,29.5307,65.7101
16.6826,67.9204,-32.0002,81.285
209.257,119.181,12.5137,148.802
11.3164,58.9902,-77.4506,62.9405
3.41772,104.602,-11.6544,88.7337
21.5914,39.7916,89.0884,71.3605
474.52,110.801,-3.41346,84.3467
45.7719,83.8907,-61.7068,50.3418
38.9375,92.686,-21.0992,115.858
51.8546,124.99,-91.4542,159.671
34.5625,177.134,47.5403,163.761
29.6084,74.8934,22.8728,69.0951
28.1756,101.531,129.597,106.573
28.5168,97.2042,55.8439,117.354
15.0709,83.262,-37.7124,108.226
48.7215,153.762,-56.4071,130.413
18.4099,118.743,-55.7536,114.511
8.44066,49.6776,-33.8183,102.57
27.4267,108.86,9.11016,68.0747
21.5695,120.118,-8.12609,79.8877
24.6881,33.4777,-17.8363,37.6495
5.44862,89.7976,-8.01667,76.0303
60.6539,82.696,56.0612,100.846
182.232,1426.98,66.0989,92.041
14.1064,18.4912,-79.8531,57.1908
28.3773,110.675,170.058,126.767
33.835,59.5004,8.47584,68.0989
25.525,60.7124,-54.9124,60.2866
9.35637,66.7084,-14.8759,43.4173
58.3796,152.768,140.301,122.496
20.8989,113.554,-42.3226,117.882
14.1772,97.4551,-30.3469,128.423
31.7441,110.112,-24.5004,69.1492
31.527,146.738,98.6879,99.3508
958.413,150.593,14.185,78.7805
3.3563,22.3174,-73.2053,65.1364
48.5639,88.1643,115.209,123.581
13.4031,88.1015,-85.6006,56.2292
26.1693,63.4552,-55.8837,61.7319
11.7499,82.3187,120.035,99.9649
33.4213,127.362,27.0768,150.572
24.011,71.365,-20.3357,45.9379
46.5941,88.3528,91.7374,135.497
19.5147,87.4104,21.9244,107.381
28.4619,141.946,144.485,123.451
20.2004,73.0671,-25.0365,110.294
13.2112,118.993,45.5435,95.8084
66.5385,89.5463,63.3429,95.9111
4.09447,59.628,-77.52,86.5503
22.8499,94.8828,-67.498,89.7547
24.537,73.1301,72.2584,121.379
22.472,2091.35,78.3828,89.1448
122.102,107.295,43.9864,126.788
6.25893,84.7708,-68.9885,34.6722
13.0313,67.6653,119.379,134.043
42700.6,2134.98,145.241,68.0581
5.67144,82.1301,21.3244,33.0197
6.59595,96.2632,20.4695,112.831
17.0668,96.075,23.9178,87.2766
46.7767,112.24,61.7451,133.469
17.0083,143.44,142.179,99.8602
32.4677,42.9168,43.0893,92.205
17.8899,96.8905,-36.5767,105.356
58.2526,98.8976,74.4997,148.78
53.4964,56.5025,45.9615,117.247
53.3912,45.0853,-43.0453,110.672
39.1146,61.6054,-5.49047,77.9243
10.318,113.866,-79.0993,119.108
24.5352,109.987,117.952,139.84
-4.61788,71.5552,-80.4101,83.6145
17.1996,77.6003,48.3111,60.3449
42.4975,108.485,92.1104,128.089
41.5358,84.8965,36.5529,101.047
32831.6,1523.47,498.708,134.148
48258.1,2441.87,136.005,59.6457
-33.5006,58.2885,-13.211,108.905
175.668,76.5932,-71.0224,75.8092
45.7657,126.675,35.4479,117.979
79.0364,168.218,17.4801,122.623
16.4614,35.2634,14.4687,57.1743
15.2067,131.042,24.527,56.6308
29.8138,59.5004,-21.1122,70.6125
35.341,64.0293,23.5535,46.825
73.7302,103.348,85.4597,94.9088
22.8949,170.015,53.1599,103.012
20.4851,74.4526,-27.192,78.6683
21.151,63.0087,-4.93051,95.9568
18.8175,46.6161,-59.389,38.795
20.8912,-2.58043,-143.135,27.4602
32.8007,74.1377,33.2719,103.893
54.5719,144.934,-58.1304,101.228
97.5106,130.107,73.6035,150.527
60.9576,100.34,-24.0491,133.234
44.1947,131.292,-54.9132,116.025
91.733,105.98,-19.3443,99.8127
9.98452,77.6003,-89.3825,89.2322
12.9836,87.4104,67.6288,108.919
8.05086,61.6054,-4.00102,97.2043
71.0833,134.97,-1.79421,125.115
7.9891,61.6692,-27.8897,43.2197
46.8224,96.3887,46.6539,122.306
17.0297,95.7613,-137.719,97.4813
41.0906,97.2042,90.0895,107.908
9.61795,31.8195,6.09636,56.9461
112.067,97.8942,196.44,112.363
29.347,114.117,-1.60619,116.4
26.9678,129.733,73.9641,88.6369
37.3984,138.272,-8.28344,92.1025
54.9176,73.445,-108.207,74.9936
38.2949,87.0334,-12.6676,83.791
39372.9,1696.12,435.81,64.7541
-16.2344,47.1901,-137.499,51.5352
13.0342,86.3421,-89.1899,66.7947
4.81918,156.681,95.0123,152.052
22.4898,32.8399,-28.4028,44.5679
0.306535,66.0068,51.4572,69.3692
49.1324,76.0896,92.3201,121.275
24.898,90.0488,88.754,87.3579
47.4368,108.109,25.6434,151.417
19.2365,63.9017,-29.4699,107.858
11.4687,59.8832,76.5451,88.6092
