"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
56015.7,44848.9,20.9636,60.3458,250.216,0.607552
67878.8,52864.4,76.2583,57.3081,222.248,0.608265
114113,51377.1,58.5974,38.885,230.637,0.611881
63704.7,33643.6,18.8929,31.8201,169.682,0.616097
110655,71004.8,53.7373,11.4199,337.526,0.620352
62223.5,44090.1,37.7895,1.45217,140.362,0.624368
86113.3,45335.8,43.3814,16.173,209.644,0.624656
57724.8,31050.4,62.2268,-2.36086,159.42,0.630482
87816.2,67287.9,33.9064,60.4778,263.166,0.631156
69628.2,39162.3,33.4404,51.8272,218.477,0.633607
44740.8,38363.8,37.22,18.4836,215.914,0.634443
39258.9,21373.3,49.1288,23.039,134.958,0.638455
68895.6,36492.4,16.3046,0.726083,187.799,0.641493
40689.5,37363.7,38.8768,62.6571,185.009,0.642614
74437.4,43399.2,35.4596,49.3179,195.803,0.642867
48633.4,35048.7,19.6694,5.41274,146.625,0.643302
78060.7,49200.6,46.6434,69.9874,205.367,0.646078
48333.9,49129.9,37.5824,22.6429,226.301,0.647828
77480.7,55216.1,62.5334,32.7445,290.677,0.64945
65633.9,72857.3,60.8469,31.2919,344.161,0.650263
72127.6,52153.3,57.4138,31.0938,245.114,0.652517
62874.9,32589,32.7674,16.8332,141.082,0.65384
60112.5,58656.7,63.9127,23.039,324.516,0.654706
40229,30789.4,52.2356,19.5399,193.088,0.656183
52014.6,28520,34.7866,-8.82218,150.006,0.661197
48216.2,36467.3,57.1549,15.8429,214.774,0.662529
66087,30953.2,44.4687,17.9555,207.791,0.665505
43810,33223,16.5117,-6.02642,125.798,0.672671
74283.7,45616.4,57.7763,51.9592,199.302,0.673719
66865.8,37182.4,71.9257,-3.41704,196.66,0.674439
70643.3,43266.4,51.0965,62.525,200.943,0.677363
81066.9,44733.3,55.8603,32.8765,219.331,0.683376
54534.3,38999.5,18.7894,12.014,138.561,0.689498
65462.3,52486.1,26.6065,22.3128,273.479,0.691129
110712,64900.8,44.8312,22.907,266.911,0.693601
89992.3,59055.8,26.1923,16.4371,224.666,0.697942
51117.4,24283.4,44.0545,11.816,121.899,0.69838
121733,74826,79.3652,38.7529,388.816,0.699284
