"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
93745.3,75909.9,62.6866,63.0533,517.14,0.498212
99232.9,60115.6,27.6419,29.5092,259.63,0.49879
48013.5,50615.9,27.9008,11.4859,196.231,0.499066
64654.4,42634.1,124.264,47.1388,194.588,0.502323
42155.2,18782.9,29.5575,40.2716,128.757,0.507847
18489.8,32831.9,118.611,16.7012,185.581,0.509223
93476.2,82885.3,121.186,89.3895,369.935,0.513126
48454.5,43691,47.5237,44.0353,226.301,0.514534
62204.2,27849.2,156.931,56.9119,120.599,0.527625
50312.7,25620.7,53.8926,17.3613,136.4,0.529255
96165.6,27662.9,4.81342,-13.4818,178.567,0.529634
90584.3,73471.3,91.3662,91.9264,400.172,0.533334
39381,25631,48.611,31.1598,149.43,0.534417
40621.5,37499.5,32.5603,59.3552,176.705,0.534512
93718.2,43789.3,56.0675,36.508,289.128,0.538824
87407.9,41724.3,462.367,30.9618,204.297,0.540208
85079.5,59420.3,50.5787,40.2716,276.936,0.541625
30493.1,25795.6,28.2632,-4.03832,121.394,0.544697
113466,64382.2,57.9837,12.08,322.275,0.5484
84944.6,47525.4,56.2746,46.8747,290.325,0.551304
44146.1,19261.3,31.4213,23.039,118.432,0.555252
83546.5,45645.2,162.287,-5.0945,235.608,0.556658
79090.3,70157,200273,55.0629,300.384,0.55866
87672.1,33667,55.3425,4.81864,270.725,0.561124
60789.4,45909.2,65.8023,19.2099,295.814,0.56276
98666.8,74819.3,149.564,80.0785,399.618,0.566293
39378.4,25495.8,23.0344,10.0996,120.744,0.577347
63608,52508.7,64.2703,30.7637,262.6,0.578349
49886.1,30017,47.4201,77.9278,269.525,0.581677
31278,29454.7,25.6229,17.8235,102.88,0.583175
91365.3,64898.2,58.3929,37.1683,299.329,0.584671
45659.1,30893.1,42.1387,24.1614,192.659,0.590113
126521,89324.8,64.8321,81.9679,378.619,0.599873
62357.5,47537,17.7541,27.0003,199.159,0.601174
25714.3,32707.8,92.2803,50.9027,207.506,0.606732
83224.5,48256.2,50.4751,8.18523,282.225,0.630573
81936,41739.9,43.951,80.9907,268.536,0.645714
77735.4,46944.9,63.4019,60.742,183.006,0.646372
44840.4,47677.7,30.7482,18.4836,230.281,0.654944
80791.3,53108.6,28.6773,46.5445,224.595,0.657616
57042.4,47931.4,93.7527,21.2565,230.708,0.658164
91150.7,38152.5,23.7591,37.7625,229.429,0.662227
39792.6,32350.7,39.4981,26.8023,145.329,0.663344
93887.7,42128.7,50.7858,62.459,250.429,0.674528
40045.3,25661.1,12.9399,8.11921,169.036,0.678188
55091.2,36599.5,61.5625,15.2488,204.582,0.680992
80573.3,39752.8,47.213,47.9972,215.7,0.686775
87546,48175.7,81.605,47.9312,263.449,0.687315
85849.8,58519.7,31.8872,4.48859,310.848,0.694899
115897,63923,60.0802,14.1925,311.339,0.7049
82511,46152.8,42.9672,33.2727,227.51,0.707181
84085,43521.7,51.925,10.1656,273.337,0.710094
74486.5,31869.4,63.5041,52.4875,171.116,0.712395
80068.8,38977.4,35.9256,41.4601,210.785,0.7143
82470.4,33454.9,16.7705,21.3225,169.897,0.715832
42784.1,30431.8,39.3428,24.2274,171.833,0.71702
74415.1,48173.9,24.9498,11.4199,177.493,0.71798
79573.8,46161.1,47.2648,10.0336,228.363,0.719297
56744.8,32988.1,61.0514,40.7338,169.538,0.724253
77469.3,44253.5,40.3783,6.20487,186.869,0.724671
124084,62258.7,66.8234,27.7926,368.475,0.727326
52929.2,24520.7,9.98946,-6.77195,111.492,0.729125
70306.4,35347.8,26.6583,10.2976,126.52,0.729427
56870.6,28224.6,6.72852,33.6028,112.939,0.730437
97858,64766.9,1521.83,19.4079,312.742,0.732594
78416.5,68392.7,73.6082,34.3291,284.057,0.734689
38229.2,34087.4,19.1,25.1517,115.252,0.735916
99348.7,48165,109.766,19.9361,227.936,0.737924
44787.1,21711,53.6855,-0.745536,153.888,0.740283
68524.9,52640.9,22.9308,40.6678,236.531,0.743383
40995.4,42732.8,66.1597,30.8957,187.512,0.743526
110731,49227.7,91.4678,23.7652,255.031,0.744741
57745.3,37783,133.434,75.972,176.347,0.746169
79790.2,51217.7,60.898,40.6678,277.924,0.746309
32003.8,39060.1,46.6952,20.0681,151.803,0.749554
37486.9,46587.8,43.6403,9.43947,208.789,0.750591
113271,59631.7,37.22,21.8506,296.165,0.751999
64890.7,40189,51.5625,17.2293,192.588,0.753975
58414.1,30863.3,29.4539,19.87,148.423,0.759205
63775.8,43925.6,77.8884,24.3594,279.969,0.761906
103700,46839.9,26.6065,10.0336,337.177,0.76423
54055,78055.8,86.1831,92.6418,359.638,0.765109
55591.1,61675.3,53.4266,12.8062,322.976,0.769984
115389,69237.7,48.611,39.7434,369.657,0.770119
117927,75486.1,118.157,54.9308,409.297,0.773775
74600,41032.6,6.41796,25.6139,178.066,0.774855
101510,60684.1,26.2441,69.4591,215.415,0.777864
82541.4,54515.7,58.3417,28.981,279.616,0.784017
69353.7,42440.1,59.1599,77.4715,255.385,0.787321
88003.6,40690.1,49.9055,44.4975,261.115,0.790219
96826.4,55965,37.1164,23.3031,211.569,0.790744
47357.9,34608.3,34.683,66.8835,211.782,0.792161
73008.6,64561.9,36.8576,8.77934,271.502,0.795091
84621.8,40941.8,12.7329,27.0663,197.874,0.795617
55206.5,35773.2,85.4204,-5.59152,116.553,0.796853
34670.4,22628.7,16.7188,7.45909,105.776,0.797121
32736.3,30876.7,49.0253,3.23441,136.4,0.801382
52116.5,22218.2,31.3177,9.70352,109.177,0.802247
73273.7,64354.2,196.624,29.3112,308.742,0.802985
84333.4,58622,72.6396,33.0086,340.6,0.806927
117547,69336.4,57.7763,41.196,295.392,0.807664
59175.5,41912.1,54.1515,16.6351,228.86,0.810136
97864.4,41761.9,26.2441,20.0021,238.234,0.813275
121106,91074.4,366.067,47.469,462.122,0.814783
106149,73973.5,77.43,34.131,307.83,0.817057
96171.1,62766.7,55.2389,43.5731,319.192,0.820639
92719.6,52086.2,26.2441,18.7477,235.608,0.825246
47310.2,36830,65.8023,27.3304,154.966,0.826024
93936.5,47560.8,41.9316,20.8603,179.928,0.827895
80737.9,44313.8,40.6372,46.2804,201.3,0.828034
85925.7,60125.2,70.2425,8.5813,318.281,0.83526
85730.3,83657.9,75.6469,52.2894,302.914,0.84514
52287.3,38933.5,71.4157,29.7073,224.311,0.84713
54132.1,36331.7,44.4687,52.0253,245.61,0.849036
85855.8,55551.6,66.2108,64.7043,245.256,0.849072
72648,42333.5,11.4388,36.3759,207.648,0.84985
41356.3,34345.4,35.6667,7.45909,152.307,0.851713
63938.8,47450,36.7022,-1.24256,175.559,0.857576
61222.2,32524.6,24.0698,20.3322,137.552,0.862357
42519.1,27382.9,24.7428,29.3112,119.227,0.864419
88775,34073.5,33.1816,21.9827,162.579,0.873014
109294,51781.5,90.8583,2.17826,254.889,0.875371
40185.8,36326.6,46.6952,29.5092,204.939,0.876962
44631.3,22864.2,47.6272,22.973,107.513,0.881325
35376.8,25573.7,51.8214,44.1674,136.688,0.881852
72937.7,44702.3,63.453,46.0163,273.62,0.882201
108436,73847.6,69.4263,46.0163,367.432,0.886102
46867.4,17935.1,35.2525,29.4432,90.557,0.891338
46656.4,25435.6,27.2795,10.4297,158.63,0.894969
61237.8,36643.3,23.9145,51.563,163.728,0.895949
80075.2,61005.4,36.754,22.973,311.69,0.908273
76683.8,61839.8,1941.2,21.7186,328.156,0.910022
76585.3,48664.7,79.2125,12.4101,242.916,0.910206
55885.3,30867,332.31,1.45217,115.541,0.911141
87678.1,57742.6,29.2468,6.00684,282.859,0.912661
48515,26397.6,20.3424,25.4158,143.602,0.915022
101906,49111.8,80.1289,17.4934,337.247,0.916985
60544,35713.7,10.4553,29.5092,126.52,0.917689
82750,53961,68.967,16.239,236.247,0.921414
54246.6,51028.2,36.4951,5.74279,214.276,0.92235
117060,77099.2,65.0874,35.9137,363.954,0.922849
96014.1,62676,64.0149,6.00684,284.268,0.925433
96615.5,74412.1,53.4784,9.83555,300.313,0.92728
93863.7,64578.1,76.2074,63.1193,381.534,0.929517
69809.9,94154,104.603,44.5636,522.838,0.929836
110880,72029.2,31.939,13.5984,277.571,0.930305
37266,21126.8,12.1117,37.3003,125.221,0.93345
87011.7,56244.7,61.4091,39.3472,265.357,0.933596
39612.7,21457.6,13.0435,27.2644,123.344,0.934349
44565.7,23067,42.7083,0.264029,135.895,0.936624
50278,24348.9,55.0836,51.7611,121.899,0.938883
63581.8,33838.6,67.0787,38.1587,196.16,0.939566
134069,86202.7,270.438,70.5157,414.062,0.939779
98368.9,49277.7,29.0915,26.8023,243.625,0.947296
93867.6,71310.3,18.1682,10.0996,221.038,0.951613
