"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
104752,65118.5,75.4431,36.0458,292.718,0.466151
59474.3,26208.7,27.2795,15.3808,99.475,0.467455
92066.6,57420.2,35.7703,29.7733,258.711,0.468368
52761.2,35267.9,26.8136,54.3365,120.383,0.468689
40814.7,50342.2,64.4746,25.4158,204.297,0.470038
43937.6,22700.7,21.4296,4.48859,105.776,0.470202
45617.1,37414.4,34.7866,22.4448,154.247,0.474063
68103.9,60147.7,47.5755,39.0831,197.66,0.474963
128830,69896.6,57.6727,53.5441,356.226,0.478372
29067,19598.1,42.9154,26.208,73.8956,0.479275
72608.3,35498.3,17.8576,18.5497,224.595,0.47988
64205.5,40592.5,25.8299,6.4029,155.541,0.481116
103849,52047.3,54.6694,20.7943,239.795,0.482081
41272.6,55150.8,53.8926,16.6351,278.276,0.485643
96089.6,41782.4,2.0185,33.6028,222.675,0.485959
77689.5,39372.6,35.149,32.8105,220.185,0.488476
80002.5,51943.6,50.734,-1.80171,222.177,0.490789
56197.3,38742.1,27.3313,27.5945,126.448,0.491801
64005,44071.6,43.6403,36.9702,237.808,0.492658
98393.1,38859.2,41.7763,6.66695,225.59,0.49625
36439.4,27947.1,12.6811,16.5691,125.437,0.501245
51434.9,26295.6,49.4395,31.2259,138.633,0.501422
92612.6,64829.7,52.9606,61.7325,338.994,0.502765
106731,78395,74.3728,44.7617,377.231,0.504495
60404.8,28385,34.0617,37.4324,147.704,0.506526
59399.1,54740.8,44.1581,51.497,242.278,0.510994
73448.3,44732.7,64.2192,77.6671,271.996,0.513325
39220.4,18075,31.3177,-7.3311,126.448,0.51688
123620,63308.1,51.6661,46.4125,331.724,0.524018
44524.7,21849.4,17.4952,41.064,94.4736,0.529051
56214.8,25710.7,28.522,-15.2214,126.736,0.531894
42144.1,35536.9,15.6317,31.8861,170.757,0.535327
64139.1,44486.5,17.8576,41.262,178.639,0.535733
126111,73331.6,55.5496,36.1778,358.733,0.536353
29256.1,28825.2,39.4981,31.7541,111.781,0.539303
65554.5,33775.7,25.4158,15.1828,150.078,0.544399
49120.3,23066,3.83001,5.94083,120.888,0.546148
42479.3,32667.4,28.3149,51.3649,162.364,0.546837
67438.7,29384.1,62.329,28.7169,179.856,0.549798
77442.6,46441.5,49.5431,8.84535,231.489,0.552198
119500,50092.4,41.8799,30.2355,326.546,0.554036
106507,65868.8,42.0352,24.2934,301.93,0.558732
57577.9,41750.7,17.5988,-7.20685,144.97,0.565476
74093.1,49675,44.417,35.0554,208.29,0.569706
35726.2,26087.7,24.4839,-9.44346,101.938,0.576415
56221.4,40248.8,28.8844,-5.40514,158.486,0.578968
87491.6,39747.7,32.5085,34.5932,231.631,0.581659
59328.2,43805.6,42.7083,20.2001,247.949,0.582098
104898,63326,41.5174,18.2856,268.466,0.584607
50473.5,42392.3,17.4435,14.6546,150.293,0.586954
99216.8,54327.7,23.8627,4.48859,222.888,0.589973
104535,47857.4,7.81549,24.4915,264.792,0.591146
89465.8,43605.3,5.74509,21.1244,255.88,0.609467
36087.5,20767,15.4764,42.1204,151.731,0.613494
71077.2,33731.9,37.2718,36.3099,194.017,0.614443
109848,52749.1,62.6866,41.5262,232.981,0.618749
79386.6,39367.7,38.2555,14.9187,176.777,0.623285
131960,80487.8,44.0545,96.0873,313.303,0.624258
71321.8,40725.8,27.2795,22.5769,181.717,0.628726
30500.2,27619,42.3458,7.39308,143.89,0.63138
104275,59942,77.8375,35.9137,312.251,0.631686
71443.2,38269.6,51.3554,23.105,189.729,0.632679
78414.8,51412.3,40.2748,7.45909,220.825,0.634407
72588.2,49389.8,83.8437,30.3015,215.201,0.634893
101111,53392.1,64.2703,28.1227,209.502,0.636193
70991.3,65637.4,45.4007,62.1288,259.135,0.63883
49856,64412.1,18.4788,23.6332,233.265,0.64095
47327.3,36066.2,21.6884,38.4228,187.512,0.647255
76345.2,34074,52.2356,32.4804,235.324,0.650178
88097,44785.1,18.1164,20.4642,187.369,0.651757
56939.6,32766.5,22.3096,-1.18043,154.679,0.652892
96619.3,59343.4,25.1052,8.64731,285.889,0.656458
108887,77507.3,34.1135,23.8313,332.773,0.656604
88727.1,40678.3,17.2364,14.2585,199.659,0.658203
48098,28196.5,6.46972,-11.6179,111.058,0.658416
107136,69176.4,52.3392,54.6666,360.056,0.659682
37806.6,24053.5,30.2823,8.18523,70.8803,0.660695
68249.1,43320.5,41.7245,42.1204,184.508,0.663384
49019.2,45736.4,14.9587,4.95066,220.256,0.664207
43044.5,32262.8,38.3073,-7.57962,121.972,0.672305
77367.2,49018.2,44.0545,31.2259,174.054,0.674701
83817.5,64083.2,28.9362,18.0215,236.318,0.675268
52877.1,39360.7,40.7408,19.606,190.658,0.678409
115928,82188.2,54.7729,59.7514,303.827,0.679968
49683.5,30354.3,41.6727,17.0312,123.127,0.680578
111371,93183.4,77.7356,56.4496,437.28,0.682318
94816.5,53353.8,39.1357,70.1855,213.278,0.684503
52054.9,31524.3,37.22,4.88465,164.948,0.685181
79450.9,48293.4,27.0207,10.9578,192.088,0.685989
74656.4,33856.5,34.01,44.2994,214.062,0.686788
71748.6,52518.9,63.3508,16.8992,204.582,0.687886
42977.5,29251.6,28.5738,49.3179,178.639,0.690298
43129.3,40783.2,29.5057,12.7402,197.802,0.697067
47283.5,22527.5,34.4759,-6.58557,105.559,0.700439
48108.6,23018.6,37.7377,19.0778,143.098,0.707434
55516.9,39924.4,12.5258,-0.372768,167.817,0.707722
82325.9,60371.7,87.0473,73.2894,266.982,0.71267
88433.4,46265.3,33.5958,44.7617,243.554,0.719818
43018.9,19800,21.1189,23.105,93.676,0.721255
56347.6,26915.3,33.3369,7.65713,165.163,0.72353
60519,21902.3,33.6993,84.6381,231.134,0.727943
53221.1,32704.7,19.5141,4.62061,144.898,0.731474
47276.2,35849.5,48.8182,67.0156,165.593,0.732127
83706.5,51409.3,16.3564,-0.62128,223.315,0.733306
58637.4,53415.7,44.8312,27.2644,241.498,0.737459
39917.2,26943.6,16.5635,20.9924,127.53,0.745854
42292.5,24283,11.387,4.09253,73.675,0.747638
74380.7,41409.3,25.4675,18.6817,204.511,0.75139
35338.8,21752.7,38.2555,11.6179,136.039,0.755038
94200,45704.9,63.4019,19.0118,250.712,0.757252
41083.4,39865.6,32.6121,1.45217,157.912,0.759496
88906.3,43028.8,79.9252,7.06302,241.072,0.760913
78255.3,62026.9,79.8234,43.1769,238.021,0.762761
92349.3,70955.7,93.3465,62.3929,433.84,0.767936
80755.3,53330.6,38.4626,4.68662,305.091,0.768013
108928,64331.4,38.7215,3.96051,193.803,0.773558
120184,61867.7,66.9766,22.7749,300.876,0.775106
61970.7,46958.3,7.71197,7.19504,209.716,0.775287
123511,80795.7,57.9316,8.38326,379.452,0.778402
65188.8,51473.5,30.3858,44.7617,242.136,0.779396
65456,45341,48.611,73.6894,192.374,0.782389
37401.3,27642.4,12.7329,8.51529,148.423,0.78288
89363,78764.9,59.8245,41.7243,374.036,0.783749
54470.2,44299.6,60.0802,7.32707,224.239,0.785117
70572.9,36730.1,59.211,13.4664,182.648,0.786645
79557.4,54485.9,39.2392,20.7943,269.384,0.787298
114109,69587.1,45.0901,29.5092,289.34,0.788401
73904.4,49511.4,47.213,50.2423,222.461,0.789745
97654,94887.6,42.9154,31.0278,325.776,0.7903
103531,62258.2,26.2959,27.9247,254.465,0.79148
52068.3,70620.9,99.8909,21.8506,294.196,0.793172
121046,73238.4,65.6492,72.1667,450.606,0.798948
44046.3,33423.5,13.2505,15.6449,168.248,0.799185
83590.8,35316.6,31.939,-0.93192,183.864,0.802042
89305.6,49928.3,23.5521,18.8798,215.629,0.809119
21869.1,32741.3,28.6773,30.3015,164.517,0.809672
58834.8,73975.8,87.7081,20.7283,363.537,0.81116
54005.9,27313.3,37.3753,7.39308,162.938,0.815599
109845,73373.5,64.4235,0.594067,399.895,0.816027
126605,50686.4,52.0803,15.1828,255.81,0.817212
68630.9,45153.9,18.3753,27.0663,147.488,0.817637
49393.4,39776.3,84.7592,33.0086,197.802,0.819324
84042.4,37050.1,54.2551,7.72314,255.314,0.819954
101111,60087.4,42.7083,15.5129,314.986,0.820882
56644.6,40722.4,33.8546,-3.1064,200.872,0.821533
80886.2,56174.5,84.9118,22.6429,291.733,0.823028
101379,50053.9,18.3753,18.8798,318.982,0.824733
47007.7,33787.5,10.4553,26.4721,167.387,0.825124
43174.6,27717.3,5.53805,4.48859,108.815,0.827049
88603.4,52808.2,59.9268,45.422,337.107,0.82811
79701,46334.9,65.2406,48.3934,243.554,0.831884
70526.9,55087.3,9.16127,19.9361,313.794,0.832966
115589,75503.5,100.094,64.308,329.416,0.834685
127605,70794.1,56.1192,31.9521,273.408,0.837249
97775.5,41263.8,9.83418,6.66695,233.762,0.837918
96775.8,59094,23.2932,16.8332,242.207,0.837941
49660.1,39472.6,36.1845,8.18523,174.413,0.841912
54836.4,51221.5,75.494,43.6391,217.836,0.843245
84191.5,41390.5,24.5875,27.2644,200.23,0.844653
52289,27602.1,40.0159,27.9247,192.016,0.847546
51531.1,33274.9,32.3532,6.07285,115.252,0.848404
39020.2,25418.7,42.0352,10.3637,115.686,0.85219
56816.3,37751.8,26.2441,11.2218,204.867,0.853764
41762,35085.4,8.5919,29.7733,165.737,0.853841
51654.6,31181.7,18.1682,25.8119,169.753,0.857784
65874.4,43937.8,34.683,12.146,219.758,0.858312
68646.6,51399.4,68.2016,19.672,248.091,0.860508
53670.6,27227.8,51.8732,4.68662,103.966,0.861541
61525.4,36246.2,60.7958,15.3148,154.535,0.863519
69290.9,55467.9,22.3096,46.1483,227.652,0.867527
55323.6,31092.5,66.364,19.0778,197.588,0.872585
61108.5,36493.6,37.7895,27.5285,154.822,0.877813
59168.9,32642.5,21.0154,9.43947,148.927,0.884583
111574,55825.9,57.4656,58.4967,299.259,0.888138
79132.8,49057.4,47.4719,-4.28683,198.516,0.897821
103695,60479.5,51.9767,48.7896,311.549,0.90697
111157,63290.3,55.3943,86.7865,349.673,0.911602
61654.3,54535.3,39.9641,57.0439,294.407,0.915447
44130.9,39527.4,11.18,34.9894,131.209,0.915474
87795.8,48310.7,75.8507,19.87,282.084,0.917883
84597.5,54938.1,40.2748,56.3175,308.602,0.920038
59166.9,31520.9,46.9541,6.79897,137.264,0.924394
79519.8,47281.6,35.615,36.7721,228.434,0.926108
41971.6,23290.7,43.5885,43.5731,133.156,0.927166
64830.8,34872.3,17.2882,47.601,164.732,0.928385
