"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
59572.1,47555.5,25.1569,6.13886,204.939,0.906491
49942.9,42010.3,49.7502,17.0973,168.176,0.908258
43624.2,29271.1,15.6834,-3.29278,169.897,0.915573
88551.9,67343.8,56095.7,-1.67746,252.978,0.917551
51152.3,35227.3,12.3705,11.4859,223.813,0.927764
55522,31609.6,-3.79969,-7.57962,103.024,0.927854
82956.7,51747.8,40.223,15.4468,213.065,0.93146
81172.9,43904.6,29.5057,11.75,190.658,0.933265
54052.8,32947,46.6952,17.2953,166.024,0.934535
20883.5,35615.5,197.121,20.1341,337.736,0.93669
67710,33745.7,29.8163,48.4595,157.265,0.94597
34579.8,23259.8,21.0672,33.8009,135.463,0.948282
109472,79740.5,69.6814,16.173,344.161,0.949586
84501.9,31082.5,29.0398,43.375,155.038,0.953779
56660.7,43736.1,40.4301,25.4158,260.479,0.955864
73727.8,69106.2,39.8088,37.5644,305.583,0.956789
59950.1,31840.1,31.8872,30.1034,187.655,0.958757
62409.6,51790.5,47.8861,28.3868,202.014,0.960105
64556.4,44065.9,69.1712,53.1478,217.694,0.965768
112435,48365.5,42.3458,74.9286,259.63,0.967888
68397.5,45134.2,40.689,29.3772,229.713,0.96884
65518.6,38881.4,26.6583,12.4761,196.517,0.971955
86466.4,55824.5,74.6786,39.2151,278.558,0.976406
24249.4,28861.1,55.2389,19.5399,163.369,0.987555
41104.5,26539.3,35.9256,36.2439,150.078,0.99277
93893,74320.2,32.8192,12.5421,298.767,0.99459
60716.5,59786.2,104.451,34.131,316.739,0.996084
75173.1,39688.1,40.8443,18.0875,172.191,1.00122
90504.7,38398.6,51.7696,39.8754,186.44,1.00662
61396.6,35034.3,30.0234,32.6124,170.972,1.0084
66273.7,38512.2,37.3753,30.4336,179.785,1.01015
64197.8,27844.6,29.2468,7.5251,124.138,1.01561
79478.6,39627.1,28.4185,19.804,184.651,1.01929
41824.1,26494.4,34.5795,27.5285,147.272,1.02017
59726.2,32317.7,-5.2124,5.94083,123.705,1.0211
47982.9,60130.9,51.6661,54.0723,234.685,1.0264
102998,44021,20.8601,2.64032,300.454,1.03093
98363.2,49453.7,21.5849,25.1517,342.835,1.03265
107396,42546,29.0915,34.7252,233.052,1.03292
52387,59611.6,85.6238,52.6856,258.923,1.03852
104438,57203.6,42.8636,45.0918,233.549,1.05153
67193.9,43765.2,27.0724,-4.41109,181.932,1.05679
76705.9,33051,23.2415,0.990114,160.354,1.06222
76068.3,39505.2,33.1298,13.7304,134.526,1.06229
133195,52045.8,44.5723,7.92118,291.944,1.06297
89522.1,48816.9,30.3858,28.849,243.554,1.06532
90371.7,66507.9,39.757,17.1633,264.438,1.06568
60423.6,32421.2,4.45111,24.1614,176.275,1.06651
116616,62901.9,44.6241,6.33689,309.935,1.07
42703.1,24246.6,28.9362,4.15854,129.767,1.07028
46845.2,31320.7,27.0724,17.9555,178.997,1.07172
61656.5,31950.7,26.8136,-11.6179,137.697,1.07523
73382.2,69670.4,70.7526,31.688,332.913,1.07816
107473,82413.5,34.8383,29.0471,280.462,1.08158
54720,27571,12.4223,19.2759,109.539,1.08582
42798.2,25188,38.6697,2.37629,164.589,1.0896
47728.2,23000.6,41.7763,18.2856,90.4118,1.09737
117418,59329.5,35.3043,51.8272,253.261,1.09813
114829,69733.9,61.9713,18.1536,425.096,1.10045
49762.9,36059.9,41.1032,28.981,107.006,1.10081
48155.2,30178.3,29.0915,37.6965,149.934,1.10261
64998.7,43337.1,26.7618,58.7609,213.706,1.10466
87623.9,41355.9,30.0234,13.3343,154.104,1.10622
62050.7,45493.1,80.1289,23.6332,250.641,1.10738
70831.1,57377,16.667,14.3246,201.371,1.10818
115545,77748.4,83.6911,105.439,370.839,1.10865
83741.7,50533.5,57.8303,-9.25707,218.049,1.10945
75399.1,46609,55.4461,20.9264,243.483,1.11245
115499,56526.7,48.4557,34.065,217.48,1.11454
108574,59434.8,71.1607,24.1614,352.393,1.11677
110203,57715.5,77.2772,19.0778,308.04,1.12062
58050,32825.4,23.5003,23.4351,185.009,1.12097
102984,75416.5,31.0589,-3.41704,323.046,1.12382
108731,52423.6,64.6278,13.4664,279.052,1.12783
53725.2,26918.3,41.9316,23.5012,113.879,1.13137
95619.2,56166,46.6952,74.0155,344.44,1.14134
66408.4,49782.8,45.2972,72.4969,209.146,1.1493
89103.8,44435.2,10.0412,54.2044,225.235,1.15872
26295.7,27043.3,42.0352,21.5866,156.475,1.1616
33929.5,27188.3,21.2225,14.0605,101.286,1.1639
32700.9,27208,36.4951,39.0831,145.185,1.17404
50944.3,52607.9,38.8768,2.24427,205.509,1.17454
56691.9,34802.6,40.3783,37.5644,187.799,1.17677
120190,42079,61.818,31.688,299.892,1.18194
77242.5,37645.1,12.4223,27.1324,213.848,1.18371
42798.8,26037.2,4.70991,8.44928,83.5158,1.19006
50219.2,30823,58.9042,45.9502,148.351,1.20068
73522.8,33930.9,31.8355,11.3539,160.784,1.20755
43048.8,30242.2,18.4788,-10.3754,144.394,1.20873
119721,76299.2,39.8088,33.8669,348.348,1.212
72057.2,32548.2,56.3781,13.2683,194.517,1.21329
43545.8,24208.9,28.6256,35.9798,121.611,1.21599
52371.2,40617.2,16.8223,-4.84598,186.368,1.21644
105393,72888.9,87.7081,11.882,355.041,1.21713
83151.7,48880.4,37.8931,10.8258,267.547,1.21854
102811,55988.7,45.2454,67.3458,330.115,1.22335
70757.6,80282.9,89.3343,30.5656,314.425,1.22629
107177,53387.4,40.9996,9.63751,288.354,1.22874
81360.3,36739.9,19.2035,53.9403,140.146,1.23121
76443.2,33088.1,14.0787,20.3982,190.015,1.23284
72935.5,51975,33.2851,23.6992,265.498,1.24167
121298,79121.1,100.702,62.7231,464.245,1.24574
84796.2,54386.7,35.615,18.4176,252.058,1.25052
24430.7,38716.1,42.3458,8.5813,182.862,1.26705
48938.4,44254.3,49.1288,39.6773,241.994,1.27479
44275.2,17069.3,-1.60756,9.04339,93.2408,1.27495
70165.6,32893.9,29.2986,5.21471,147.776,1.27971
105684,83979,95.9857,69.7893,543.751,1.28304
56109,40125.8,42.3976,18.0875,193.088,1.28689
95932.9,46398.4,171.282,54.4025,230.566,1.29309
61256.7,34838.8,24.018,-0.559152,197.017,1.2943
135298,81708.4,87.6573,72.1667,425.44,1.29611
40583.8,23020.8,38.7215,24.8876,103.604,1.30894
26937.4,40011.5,189.221,32.9425,327.806,1.31022
80706.7,49918.9,23.0861,55.327,234.543,1.31618
61406.8,32852.5,14.8552,37.3003,172.478,1.31793
98845.6,53897.9,52.857,-12.2392,270.443,1.31868
67348.8,42515.6,24.4321,41.8563,197.731,1.31905
84022.7,39386.7,23.9145,9.17542,146.481,1.32124
105017,53485,31.5248,52.1573,281.731,1.32771
59269.2,26647.4,32.9745,54.0063,141.01,1.32777
75471.8,39101.7,70.2936,28.5849,241.569,1.32954
120503,77384.7,58.6485,8.18523,283.564,1.32968
77656.7,45952.7,30.2823,16.9652,213.848,1.3323
57782.1,54988.8,30.5929,6.73296,242.207,1.33531
54713,55966.9,61.0003,10.6277,208.29,1.33651
42024.2,29352.6,11.4906,26.3401,111.564,1.33808
65934.9,59731.2,57.728,49.648,221.75,1.34017
63226.5,40991.3,29.3504,12.8062,273.973,1.34359
57379.8,38022.6,43.485,35.5836,181.145,1.34777
84603.8,57868.2,71.2627,13.1363,346.325,1.35025
47936.2,40477.8,40.3265,57.7703,197.517,1.35316
79097.4,52388.5,16.9776,22.7089,219.829,1.35509
65899.1,64738.6,43.2261,6.00684,234.898,1.35547
57935.8,35815.4,31.266,26.7362,124.138,1.35588
114417,50643.5,84.5558,14.2585,346.185,1.35892
43688.2,37087,26.3476,38.6869,218.049,1.36157
108243,68971.8,65.496,67.4779,279.405,1.36208
52811.7,35748.3,25.6746,17.2293,142.81,1.36463
101426,56026.4,8.5919,38.7529,212.851,1.36677
76942.6,38736.7,12.8364,36.9041,204.368,1.37353
90015,41749.8,41.2067,9.5715,225.448,1.37364
93625.2,38268.3,62.8399,27.3965,180.143,1.37496
41385.3,16043.4,37.5306,12.8062,101.648,1.37543
60638.4,42680.4,55.6014,32.2823,233.123,1.38552
79966.1,42928.2,19.2035,17.0973,223.457,1.38686
106235,48105.5,52.5981,16.5691,312.181,1.38868
117678,69588.3,34.3724,24.1614,308.461,1.38931
41487.9,42184.3,29.9199,43.0449,217.266,1.3896
103389,58637.8,54.7729,72.7611,249.437,1.38973
70734.3,36379.7,34.7866,25.0197,232.91,1.38984
45877.6,31680.9,5.69333,-11.6179,112.866,1.38986
48732.6,30608.8,44.4687,0.594067,125.437,1.39022
46793.2,54943.7,46.3328,18.1536,265.357,1.39096
68104.4,46828.3,26.503,19.1438,268.183,1.39148
111658,57948.5,65.1896,35.3195,279.123,1.39253
70541,76552,88.9278,62.3269,359.638,1.39449
87991,54384.5,43.7438,47.9972,258.711,1.40461
71792,35408.5,18.0129,16.8992,146.553,1.4138
59663.3,28036.9,15.2693,8.11921,126.736,1.42021
69493.4,47324.5,74.9844,30.1034,234.259,1.4222
89353.7,55108,5.69333,25.6799,222.746,1.42597
53853.4,35187.6,62.2779,5.34673,201.443,1.42697
95424.8,64548.9,55.8603,45.7521,290.255,1.42872
102083,50233.8,41.8281,10.0336,261.54,1.42983
68664.8,32080.1,38.3073,24.2934,140.578,1.4457
108879,88761.8,76.6149,47.2048,464.587,1.44641
97431.1,54684.1,57.8303,40.9319,306.636,1.45456
76173.6,58120.5,39.9641,7.98719,206.65,1.46193
43689.9,40600.7,8.28133,26.142,213.563,1.47041
52214.2,34967.2,31.7319,9.17542,162.651,1.47775
77759.5,42686.2,10.2483,3.8945,199.873,1.48608
44070,37013.6,47.8344,5.41274,153.888,1.49095
110842,51525.4,87.3015,76.6892,356.992,1.49375
67094.6,67275.8,76.5131,26.7362,290.677,1.49937
47150.5,28575.7,48.5075,11.816,192.731,1.49983
91949.3,51089.5,30.6447,29.9054,259.135,1.50265
63342,31243.6,13.9752,0.924106,145.113,1.50497
83629.9,59178,25.364,29.3112,314.916,1.50848
56231.4,28564.6,17.6505,3.36643,136.976,1.50885
106238,67459,35.7185,66.4873,264.721,1.50929
57275.5,28863.2,34.3206,21.9827,169.323,1.51293
47605,25204.6,39.5499,16.7012,113.228,1.51929
91937.7,59585.5,36.1327,14.5886,255.526,1.52081
106417,62017.4,63.7595,26.4061,377.231,1.5226
40545.2,51403.1,41.5692,6.33689,218.121,1.52792
66088.8,36432.7,18.5306,26.8683,177.636,1.52805
61421.7,30501.8,27.3831,7.19504,240.008,1.53215
78588.5,58320.9,25.6746,16.5031,258.852,1.53395
58467.3,31582.1,42.8636,20.6623,121.827,1.54287
101589,54927.1,33.1298,26.142,294.829,1.54497
92035.3,49573.4,38.5662,55.5251,268.254,1.54777
100434,44020.8,34.3206,14.5226,233.123,1.55058
60335.6,42134.7,54.0998,-3.47917,219.117,1.55507
57154.7,43645.3,14.4929,41.4601,190.301,1.55561
59846,36025.2,24.018,0.264029,136.904,1.5568
86547.7,47520.8,35.8738,25.0197,191.159,1.55694
45128.4,31351.7,35.9774,35.1874,191.087,1.5602
77484.9,52612.4,11.5423,24.3594,204.725,1.56023
71230.2,60883,30.2305,20.3322,232.697,1.56634
61413.1,38605.4,31.5248,3.43244,175.129,1.57671
91365,64373.3,49.336,28.5849,328.786,1.57699
77980.3,39145.4,26.2441,16.107,183.006,1.57885
84349.5,47086.3,37.22,24.5575,245.114,1.57948
116831,58410,29.9716,56.2515,219.544,1.58112
37964.9,48188.7,13.1988,29.9714,164.517,1.58138
54251,26816.5,27.176,17.1633,127.963,1.58368
66674.7,46310.7,36.9611,37.1022,223.244,1.58403
113240,44811.1,11.9564,1.45217,227.297,1.58587
41711.3,34567.4,22.1025,22.8409,136.4,1.58646
50227,27638.7,12.3705,3.56446,120.599,1.58721
63386.8,38489.9,56.2746,32.3483,210.143,1.59056
77729.1,48071.8,36.3398,23.7652,161,1.59063
96813.9,61552.4,57.1031,42.7807,349.673,1.59424
95177.9,56227.8,87.9114,92.7068,466.641,1.59716
43558.5,23432.2,32.5603,45.8182,149.286,1.59881
102030,42663.6,48.3521,40.3376,238.518,1.60996
113185,61756,42.9672,42.1204,256.588,1.61776
75672,40651.6,7.81549,-9.69197,156.188,1.62227
103207,38678,22.2578,5.1487,220.327,1.62846
102084,58835.9,43.5367,59.1571,265.428,1.63015
85200.3,62526.4,55.2389,27.0003,323.186,1.63323
75808,45530.6,50.0091,4.02652,245.681,1.63337
