"FSC-A","SSC-A","APC-A","FITC-A","Time"
50612.9,36952.6,45.05,431.52,1.18882
97780.7,56532.8,71.4,802.59,1.19794
71754.9,53110.4,5.95,731.91,1.19794
38178.3,54960.2,23.8,624.96,1.202
90815.2,69733.3,51.85,998.82,1.21012
26292,53289.9,24.65,481.74,1.21519
38874.3,54693.3,25.5,823.05,1.22635
70984.7,51965.6,10.2,708.66,1.23649
56643.8,47590,45.9,556.14,1.23953
62485.8,57618.2,4.25,573.81,1.24156
58244.3,73809.5,18.7,1096.47,1.24562
72737.7,71803.4,96.05,847.23,1.24663
60075.6,43626.3,-6.8,497.55,1.25779
43047.1,39464.6,10.2,458.49,1.25881
48813.3,49458.3,45.9,597.06,1.25881
31393,42867.4,25.5,597.06,1.25881
72304,60288.2,34,865.83,1.26185
47979.1,44712.5,10.2,485.46,1.26489
57001.7,44919.9,31.45,704.01,1.26489
70735.8,67781.2,22.1,870.48,1.26489
27390.1,52710.5,42.5,731.91,1.26692
61637.4,75997.7,19.55,801.66,1.26692
69456,57942.7,21.25,792.36,1.26996
58960.9,66805.6,31.45,651,1.27098
47769.7,44119.2,18.7,716.1,1.27199
76049.4,66135.1,33.15,874.2,1.27402
28358.6,58783.4,20.4,669.6,1.27605
68389.5,51186.3,31.45,863.97,1.27808
90456.6,85379.6,34,952.32,1.27909
78784.3,87441.4,6.8,962.55,1.28011
65036.8,66867,-8.5,619.38,1.28112
54860,74532.1,27.2,1248.99,1.28112
60410.5,68840.5,2.55,974.64,1.28315
42883.6,41081.8,28.9,553.35,1.28416
65121.3,81577.7,73.95,1248.06,1.28619
62575.9,60799.7,34,657.51,1.29228
50362.5,59546,41.65,833.28,1.29532
76162.3,66237.4,36.55,896.52,1.29634
74446.4,51133.3,9.35,592.41,1.30039
42588.9,45848.1,-5.95,490.11,1.30141
48145.8,53392.2,78.2,809.1,1.30242
58074.5,48285.6,1.7,694.71,1.30445
74907,73274.7,3.4,836.07,1.30445
49638.1,44979.4,10.2,694.71,1.31257
55540.2,41627.7,25.5,513.36,1.31662
94789.7,63260.5,47.6,947.67,1.32474
55056.7,59302.4,51.85,840.72,1.32575
61839.6,52034.4,69.7,597.99,1.3288
40847.7,46692.5,10.2,395.25,1.3288
46114.7,48367.4,69.7,818.4,1.33184
48476.8,48874.3,-2.55,554.28,1.33285
93833.8,79119.8,1.7,1145.76,1.33488
52360.4,45364.5,32.3,521.73,1.33792
52294.1,55036.5,9.35,538.47,1.343
74768,59959,20.4,970.92,1.34401
59145.7,49343,24.65,975.57,1.34502
42731.9,54557.5,-0.85,778.41,1.34604
55441.4,48537.6,22.95,696.57,1.34807
34096.4,39945.4,18.7,453.84,1.3501
91451.2,65430.2,-2.55,983.94,1.35415
64185.9,73126.8,56.95,903.96,1.35517
41874.7,52340.4,46.75,822.12,1.3572
46630.5,60683.4,72.25,710.52,1.3572
65293.5,63463.2,2.55,694.71,1.35821
61129.4,28483.1,-22.95,373.86,1.3643
35568.2,50007,26.35,812.82,1.36531
56690.4,68091.8,28.05,670.53,1.36734
76551,67297.6,-22.95,956.97,1.37546
51245.7,44367.5,6.8,666.81,1.38053
46857.3,41369.2,22.1,478.02,1.38053
63964.7,71607.2,39.95,1056.48,1.38458
54465.8,74533,46.75,755.16,1.38763
45363.4,46589.3,15.3,545.91,1.38864
75569.8,64044.4,28.9,882.57,1.3927
54898.7,39668.2,71.4,608.22,1.39473
56457.4,43272,17,579.39,1.39574
113223,77300.7,20.4,1094.61,1.39676
82848.9,69051.6,20.4,917.91,1.39878
45355.5,39362.2,3.4,584.04,1.40183
43741.5,54425.5,26.35,734.7,1.40183
43746.2,64916.8,89.25,826.77,1.40183
67556.9,47585.3,-4.25,516.15,1.40183
57054.6,57515.9,47.6,681.69,1.40386
81606.2,78572.9,41.65,967.2,1.4069
83148.3,66830.7,19.55,850.95,1.4069
38462.7,55293.2,-1.7,810.03,1.40893
46070.4,55756.3,15.3,562.65,1.40994
79152.5,85162,4.25,1010.91,1.41299
76686.1,76370.7,7.65,1029.51,1.414
40324,30482.6,-1.7,381.3,1.41501
88751,73094.3,5.95,1013.7,1.41603
51598.1,64369,63.75,1127.16,1.41907
39454.2,34351.4,-26.35,306.9,1.42211
90959,57131.8,23.8,724.47,1.42617
31746.9,30955.1,56.95,466.86,1.43429
42804.6,68696.3,22.95,847.23,1.43834
67485,67777.5,-4.25,830.49,1.44139
37751.7,37823.1,5.1,457.56,1.44443
59344.8,72433,31.45,744.93,1.44849
67646.9,64130.9,67.15,858.39,1.45052
61322.2,69235.7,53.55,786.78,1.45356
39876.8,45092,23.8,444.54,1.45559
100204,84149.2,28.05,1097.4,1.4566
39915.5,39784.5,38.25,455.7,1.45863
52733.3,45952.2,40.8,469.65,1.46269
55653.9,45598.8,17.85,714.24,1.46675
48420.7,42783.7,29.75,554.28,1.46776
56224.3,53322.5,5.95,718.89,1.4708
64121.9,59215.9,28.9,784.92,1.47892
39153.2,38907.5,-0.85,545.91,1.47892
44125.5,40225.3,56.95,651.93,1.47993
44927.3,41194.4,43.35,581.25,1.48196
65332.2,37264.2,0.85,504.99,1.48298
37284.1,46150.3,45.05,744.93,1.485
59253.2,54760.3,80.75,780.27,1.48906
75151.1,61984.5,51,902.1,1.49515
90244.9,83840.4,45.05,866.76,1.49921
46900.7,26937.5,11.05,470.58,1.50123
44696.6,39533.4,32.3,612.87,1.50123
44473.1,42866.5,-21.25,476.16,1.50326
29565,37328.3,-30.6,497.55,1.50631
105790,80210.6,74.8,1094.61,1.50833
53332.9,56991.3,22.95,770.97,1.51239
57794.8,51398.3,9.35,615.66,1.51645
75889.8,51357.4,41.65,567.3,1.51949
53863.8,45849,62.05,744.93,1.52051
47892.2,44076.4,7.65,721.68,1.52254
48114.2,57794.9,24.65,612.87,1.52355
89415.4,59650.2,54.4,850.95,1.52659
56399.7,62331.4,16.15,703.08,1.52862
48426.2,57904.6,16.15,852.81,1.53065
57190.5,47944.3,-5.95,678.9,1.53166
87833.8,82778.4,41.65,967.2,1.53471
61278.7,49354.2,28.9,647.28,1.53978
63587.1,57700,14.45,833.28,1.54079
39372.8,33347.9,-12.75,371.07,1.54079
45165.9,58955.5,46.75,674.25,1.54079
56390.2,44541.4,26.35,552.42,1.54789
63736.4,66985.1,39.1,921.63,1.55195
