"FSC-A","SSC-A","APC-A","FITC-A","Time"
76034.3,59897.6,40.8,804.45,1.42648
75722.3,82325.5,15.3,1183.89,1.43057
61484.9,57368,32.3,731.91,1.43364
88769.9,72869.2,60.35,1107.63,1.44182
68529.3,72107.5,10.2,826.77,1.44387
38520.4,49750.4,50025.9,735.63,1.44489
62435.3,67528.2,50.15,814.68,1.45
39825.5,45090.1,22.95,500.34,1.46227
52430.7,24131.6,18.7,458.49,1.4633
73846.8,74847.3,58.65,896.52,1.46534
84230.6,81004.9,10.2,1054.62,1.46636
87735.8,60684.4,73.95,1116.93,1.46841
49001.3,56942,11.9,709.59,1.46841
61176.8,44524.7,64.6,491.97,1.46943
50610.6,54570.5,22.95,815.61,1.47557
57391.9,37270.7,33.15,608.22,1.48579
61517.3,64187.7,11545.6,690.99,1.48988
36588.9,37149.8,11.9,433.38,1.49091
43572.5,45467.7,47.6,620.31,1.49091
72215.5,70096.9,50.15,954.18,1.495
98685.2,86497.4,87.55,1319.67,1.50318
63824.1,42329.9,16.15,534.75,1.5042
72111.2,38647.1,52.7,745.86,1.51545
68238.6,51762.9,7.65,701.22,1.51749
31054.9,36267.2,9268.4,958.83,1.52056
57508.1,60315.2,18.7,784.92,1.52056
50514.2,60113.3,46.75,655.65,1.52158
68655.7,64242.5,137.7,698.43,1.52465
76481.5,58274.7,34.85,817.47,1.52465
73298.6,69194.8,31.45,937.44,1.52567
30443.4,39153,82.45,576.6,1.5267
56447.9,43963.9,8769.45,492.9,1.5267
47776,57220.1,242.25,746.79,1.52976
69131.3,41585.9,29.75,497.55,1.52976
50586.1,62608.5,-9.35,823.98,1.53181
50533.1,41272.5,0,523.59,1.53283
68214.9,42541.9,78.2,545.91,1.53488
36342.4,46128.9,62.9,523.59,1.53897
65132.3,50636.6,73.1,638.91,1.53999
51967,58308.2,4700.5,2199.45,1.54101
39285.1,47898.7,7270.05,573.81,1.54203
72780.3,80028.4,46.75,954.18,1.54306
55699.7,52314.4,27.2,465,1.54306
94132.5,68767,49.3,916.05,1.54408
47778.4,49334.6,8.5,500.34,1.5451
52422.8,50318.6,53.55,527.31,1.5451
43077.1,44134.1,5.95,525.45,1.54817
48755.6,32720.2,19.55,411.99,1.54919
64599.1,45465.8,19.55,571.95,1.55021
60281.7,67003.7,10659,1215.51,1.55328
54160,57493.5,143.65,801.66,1.55533
80683.5,65642.2,727.6,810.96,1.55839
73740.2,78599,52.7,1351.29,1.56044
69770.4,76037.7,19.55,873.27,1.56044
60952.5,40721,45.9,504.99,1.56044
71948.5,58416.1,19.55,836.07,1.56248
57258.4,69329.6,16.15,846.3,1.56351
71104,49994,312.8,790.5,1.56555
62912.4,68183.9,155.55,988.59,1.5676
64726.3,61077.8,196.35,1043.46,1.57271
51583.1,44911.6,21.25,581.25,1.57578
44142.8,46745.5,50.15,474.3,1.57782
45575.1,55204.8,470.05,1089.96,1.57782
63534.2,42860.9,18.7,536.61,1.57987
88298.3,57512.1,165.75,810.96,1.57987
41366,38689.9,22.1,498.48,1.58089
83074.8,79500.1,26.35,967.2,1.58089
70592,71905.7,22.1,1047.18,1.58294
60922.4,41200.9,6.8,699.36,1.58396
64840.8,61091.7,13.6,826.77,1.58805
68830.3,62134.2,52.7,893.73,1.59009
53197,61867.3,34,560.79,1.59112
56929,60661.1,11.9,746.79,1.59214
85745,87200.5,96.05,1125.3,1.59316
60158.5,58792.7,9750.35,746.79,1.59623
91380.9,80166.9,58.65,922.56,1.59725
59353.5,61209.8,44.2,957.9,1.60134
72299.2,75755,23116.6,763.53,1.60646
51047.4,37114.4,34,679.83,1.60952
44602.6,39422.7,8.5,490.11,1.61975
65972.1,66240.2,56.1,917.91,1.61975
44962.1,38100.2,42.5,541.26,1.62486
49331.6,66542.4,-16.15,923.49,1.62588
65006.7,57915.8,112.2,954.18,1.62691
50917.9,49046.3,57.8,461.28,1.62691
56258.3,46219.1,110.5,612.87,1.631
74108.3,55415,31.45,581.25,1.63202
68737.9,49656.4,37.4,615.66,1.63202
54571.6,51431.8,101.15,718.89,1.63406
55511.7,47728.5,24.65,689.13,1.63713
45996.2,59045.7,15.3,717.03,1.63816
79318.4,85433.5,51.85,963.48,1.6402
93545.5,74584.1,153,843.51,1.64736
73386.3,64635,185.3,794.22,1.66576
55917.8,36401.1,29.75,539.4,1.66679
46197.6,51527.6,39.1,714.24,1.66781
41542.2,45037.1,10796.7,557.07,1.67394
39179.3,40458.7,28.05,529.17,1.67804
81553.3,64195.1,47.6,947.67,1.68417
96989.9,59998.9,170.85,870.48,1.68519
82948.4,54373.4,56.95,718.89,1.68622
71797.6,43280.3,38.25,533.82,1.68826
37715.4,66105.3,111.35,841.65,1.68826
92614.9,69714.7,52.7,1014.63,1.69337
44185.5,37356.2,62.9,458.49,1.6944
33438.3,63193.5,11.9,772.83,1.69644
69129.7,44984.1,18.7,791.43,1.69849
84093.9,78766.4,85.85,716.1,1.71383
64889.8,27297.4,44.2,857.46,1.71689
50832.6,53526.2,402.05,949.53,1.71792
47714.4,54289.7,44.2,727.26,1.72405
42827.5,34379.3,85.85,373.86,1.72507
66321.3,44986,79.9,626.82,1.7261
49648.3,48361.9,36.55,585.9,1.72814
74166,57392.2,70.55,769.11,1.73019
50407.5,54735.2,62062.8,632.4,1.73121
51460.6,52471.5,56.1,663.09,1.73325
49841.9,51695,10.2,590.55,1.73632
59502.8,58887.6,5.95,773.76,1.74246
65810.2,41916,18.7,617.52,1.74757
74189.7,48645.5,45.05,616.59,1.74859
66357.6,56507.7,37.4,652.86,1.75064
67477.9,76140,8110.7,783.06,1.75064
30794.2,43814.2,62.05,550.56,1.75268
45152.5,45962.5,13710.5,505.92,1.75371
59855.9,80319.5,68.85,1155.99,1.7578
50952.6,55067.2,-16.15,773.76,1.78234
46883.3,54921.2,33.15,758.88,1.7895
94796.8,77403.9,11.05,973.71,1.79359
38209.9,39077.7,39.95,539.4,1.79665
72051.2,72763.2,62.05,864.9,1.79972
46712.7,36738.7,7.65,530.1,1.8079
65096,74129.4,71.4,802.59,1.81097
33022.8,30179.4,28.05,460.35,1.81097
76633.2,53144.9,40.8,883.5,1.81301
46938.6,71176.6,-12.75,937.44,1.81404
79255.2,85271.7,32.3,1061.13,1.81813
45035.5,57297.3,15.3,685.41,1.81915
69609.3,72892.5,34.85,783.06,1.82017
65623.7,56901.1,69.7,996.03,1.8212
40043.5,48859.4,17.85,681.69,1.8212
79091.6,58177.1,35.7,749.58,1.82426
56999.3,64364.4,12430.4,863.97,1.82529
88247,68016.5,51803.2,1880.46,1.82631
73609,82475.2,120.7,889.08,1.83347
48477.6,46337.2,21.25,465.93,1.83347
48371.7,61996.6,26.35,559.86,1.83449
45245.7,36236.5,24.65,319.92,1.83858
68202.3,63831.5,68,852.81,1.8396
53743.7,42024.8,8.5,464.07,1.84165
73037.1,73899.7,6161.65,867.69,1.84267
58089.5,73135.2,3536.85,763.53,1.84676
81926.2,60963.4,173.4,806.31,1.8488
61142.1,67172,11.9,940.23,1.8488
61864.9,41087.4,39.1,483.6,1.85289
67883.1,75829.4,490.45,935.58,1.85494
69080,71704.9,35.7,757.02,1.85903
74079.9,47741.6,17.85,683.55,1.86414
54231.1,45190.6,55.25,521.73,1.86414
67464.4,64375.5,570.35,767.25,1.86414
86709.6,63869.6,0,779.34,1.87028
47253.9,49628.5,23.8,642.63,1.87539
86550.8,75739.2,199.75,1226.67,1.87641
67146.8,49463.9,94.35,637.05,1.87641
47132.2,46474,25.5,535.68,1.88153
76205,62332.3,76.5,899.31,1.88664
84185.6,65025.6,25.5,976.5,1.89584
48238.2,42520.5,198.05,505.92,1.89584
45534,57408.9,699.55,878.85,1.89891
64407.1,44939.5,14.45,706.8,1.89993
56167.4,64702,64515,1007.19,1.90198
61315.1,42182.9,49.3,504.06,1.90607
81982.2,51052.4,64.6,854.67,1.90914
46039.6,54324.1,101.15,1554.96,1.91118
49471.4,43731.4,30.6,745.86,1.91323
93318,80835.6,28.9,832.35,1.91732
58102.9,41210.2,42.5,587.76,1.91732
44955.7,54223.7,13.6,637.05,1.91936
48310.9,39210.7,107.1,487.32,1.92243
53821.1,57905.5,6.8,683.55,1.93061
77540.1,49608.1,22.1,645.42,1.93368
42968.1,53582.9,23.8,629.61,1.94493
54233.5,41525.4,79.05,664.02,1.94902
40658.9,65267.4,327.25,805.38,1.95208
84443.9,61968.7,-0.85,877.92,1.95311
46612.4,40857.7,46.75,451.05,1.95413
43979.3,46581.8,27.2,1019.28,1.95515
111072,80714.7,152.15,1069.5,1.95822
66582,61457.2,80331.8,847.23,1.96026
49986.5,41853.7,19.55,521.73,1.96129
54294.3,61024.7,17.85,1526.13,1.96435
61845.2,78037.2,32.3,938.37,1.9664
63151,44361.9,22.1,553.35,1.96742
45835.8,45135.7,12.75,551.49,1.96742
56017.3,52169.3,1.7,686.34,1.96947
53983.1,34570.9,7.65,567.3,1.97049
33750.4,29490.3,-4.25,415.71,1.97049
75309.1,61076.8,34,902.1,1.97254
59274.5,60570,52.7,869.55,1.97458
86764.9,56552.4,20.4,578.46,1.9756
56225.1,62172.4,90.95,895.59,1.9756
53059.6,78067,40.8,1159.71,1.97867
27311.1,42027.6,97.75,456.63,1.97969
53799.8,43426.4,34,556.14,1.98481
66901.1,63005.6,56.1,1140.18,1.98481
63902.3,88237.5,239.7,956.97,1.98787
107419,80577.1,23.8,998.82,1.98992
66619.1,50725,1.7,614.73,1.99196
57738.7,35791.1,-5.95,508.71,1.99299
73112.9,78666.8,207.4,774.69,1.99401
69309.9,77295.1,13782.8,1076.94,1.99503
50010.2,40654.9,6.8,573.81,1.99503
67567.1,57090.8,11.05,613.8,1.99605
68126.4,86325.4,75.65,989.52,1.99912
61332.4,76829.2,33.15,659.37,2.00117
46064.9,78708.7,34,608.22,2.01242
62404.5,45022.2,31.45,576.6,2.01446
37566.9,43442.2,17,379.44,2.01548
67970,47553.7,36.55,570.09,2.0206
28435.3,42311.3,21.25,480.81,2.02366
49128.5,66055.1,17.85,753.3,2.02775
59462.5,70365.7,14.45,831.42,2.02775
51595.7,63202.8,22.1,647.28,2.02775
62312,65961.2,126.65,875.13,2.03082
37638,45871.3,33.15,664.95,2.03184
69363.6,82537.5,19580.6,1091.82,2.03389
37732.8,55627.9,27.2,712.38,2.03593
54481.6,45672.3,30.6,796.08,2.03696
56826.3,50742.7,6399.65,534.75,2.03696
36845.6,56218.5,39.95,655.65,2.03696
56467.6,43471.9,69.7,454.77,2.04105
52270.4,39841.2,-1.7,501.27,2.04309
55993.6,85789.7,149.6,887.22,2.04514
43422.4,34047.3,110.5,456.63,2.04616
36441.9,54517.5,24.65,716.1,2.04923
71458.7,47565.8,49.3,768.18,2.05741
91023,47134.3,22.1,731.91,2.06866
31575.5,42957.6,16.15,994.17,2.07684
56723.6,57510.3,8.5,543.12,2.07888
60720.2,43343.6,-4.25,563.58,2.08195
72446.2,76393.9,1584.4,842.58,2.08297
80801.2,70379.6,324.7,944.88,2.08809
50785.2,45762.5,50.15,658.44,2.09218
61420.9,68297.3,68.85,862.11,2.09524
61055.9,59909.7,31.45,734.7,2.09831
41849.5,35287,50.15,502.2,2.10036
93701.9,64435.1,219.3,906.75,2.10036
55134.9,50543.6,53.55,509.64,2.1024
47765.8,53417.3,43.35,664.95,2.10342
63659,43708.1,14.45,600.78,2.10342
45395.8,55947.9,51,527.31,2.10445
52903.1,75553.2,64.6,1116,2.10854
76284,59443.7,-2.55,790.5,2.10854
55100.1,42516.8,72.25,474.3,2.11365
73223.5,53715.9,61.2,816.54,2.11467
41997.2,40065.3,46.75,674.25,2.11569
72592.3,60455.6,2.55,894.66,2.11569
42507.5,50406,22.95,837.93,2.11979
107269,87460,67.15,1373.61,2.12388
56507.1,50627.3,39.95,631.47,2.12797
51134.3,44377.7,26.35,495.69,2.13103
76965.8,53902.8,8.5,779.34,2.13308
68512,48441.8,28.05,707.73,2.1341
59968.1,51814.9,48.45,736.56,2.13921
92498.7,59210.3,112.2,785.85,2.14228
54442.9,47864.3,90.1,593.34,2.14637
89383,80206,5428.95,1102.98,2.15557
67334.9,84828.1,45.9,992.31,2.16273
53821.9,49649,3.4,653.79,2.16478
39853.1,48725.5,53.55,589.62,2.16682
72820.6,45349.6,45.9,582.18,2.16989
58939.5,54990.9,37.4,721.68,2.17398
