RSC1A1	RSC1A1
PLEKHM2	PLEKHM2
SLC25A34	SLC25A34
TMEM82	TMEM82
FBLIM1	FBLIM1
UQCRHL	UQCRHL
FLJ37453	FLJ37453
SPEN	SPEN
ZBTB17	ZBTB17
C1orf64	C1orf64
HSPB7	HSPB7
CLCNKA	CLCNKA
CLCNKB	CLCNKB
FAM131C	FAM131C
EPHA2	EPHA2
LOC100506484	LOC100506484
ARHGEF19	ARHGEF19
RSG1	RSG1
FBXO42	FBXO42
C1orf144	C1orf144
SPATA21	SPATA21
NECAP2	NECAP2
CROCCP3	CROCCP3
RNU1-1	RNU1-1
LOC100506533	LOC100506533
LOC100133301	LOC100133301
NBPF1	NBPF1
CROCCP2	CROCCP2
MST1P2	MST1P2
RNU1-3	RNU1-3
LOC729574	LOC729574
ESPNP	ESPNP
LOC729587	LOC729587
RNU1-4	RNU1-4
MST1P9	MST1P9
MIR3675	MIR3675
LOC100506687	LOC100506687
RNU1-2	RNU1-2
CROCC	CROCC
MFAP2	MFAP2
ATP13A2	ATP13A2
SDHB	SDHB
PADI2	PADI2
LOC400743	LOC400743
PADI1	PADI1
PADI3	PADI3
MIR3972	MIR3972
PADI4	PADI4
PADI6	PADI6
RCC2	RCC2
ARHGEF10L	ARHGEF10L
ACTL8	ACTL8
IGSF21	IGSF21
KLHDC7A	KLHDC7A
PAX7	PAX7
TAS1R2	TAS1R2
ALDH4A1	ALDH4A1
MIR4695	MIR4695
MIR1290	MIR1290
IFFO2	IFFO2
UBR4	UBR4
LOC100652915	LOC100652915
KIAA0090	KIAA0090
MRTO4	MRTO4
AKR7L	AKR7L
AKR7A3	AKR7A3
LOC100506730	LOC100506730
AKR7A2	AKR7A2
PQLC2	PQLC2
CAPZB	CAPZB
LOC644075	LOC644075
LOC644083	LOC644083
C1orf151	C1orf151
C1orf15-NBL1	C1orf15-NBL1
NBL1	NBL1
HTR6	HTR6
TMCO4	TMCO4
RNF186	RNF186
OTUD3	OTUD3
PLA2G2E	PLA2G2E
PLA2G2A	PLA2G2A
PLA2G5	PLA2G5
PLA2G2D	PLA2G2D
PLA2G2F	PLA2G2F
PLA2G2C	PLA2G2C
UBXN10	UBXN10
VWA5B1	VWA5B1
LOC339505	LOC339505
CAMK2N1	CAMK2N1
MUL1	MUL1
FAM43B	FAM43B
CDA	CDA
PINK1	PINK1
DDOST	DDOST
KIF17	KIF17
SH2D5	SH2D5
HP1BP3	HP1BP3
EIF4G3	EIF4G3
MIR1256	MIR1256
ECE1	ECE1
LOC100506824	LOC100506824
LOC100506801	LOC100506801
LOC100652932	LOC100652932
NBPF3	NBPF3
ALPL	ALPL
RAP1GAP	RAP1GAP
USP48	USP48
LDLRAD2	LDLRAD2
HSPG2	HSPG2
CELA3B	CELA3B
CELA3A	CELA3A
LINC00339	LINC00339
CDC42	CDC42
WNT4	WNT4
MIR4418	MIR4418
ZBTB40	ZBTB40
EPHA8	EPHA8
C1QA	C1QA
C1QC	C1QC
C1QB	C1QB
EPHB2	EPHB2
MIR4684	MIR4684
MIR4253	MIR4253
LOC729059	LOC729059
KDM1A	KDM1A
MIR3115	MIR3115
MIR4419A	MIR4419A
LUZP1	LUZP1
HTR1D	HTR1D
HNRNPR	HNRNPR
ZNF436	ZNF436
C1orf213	C1orf213
TCEA3	TCEA3
ASAP3	ASAP3
E2F2	E2F2
ID3	ID3
MDS2	MDS2
RPL11	RPL11
TCEB3	TCEB3
LOC100506963	LOC100506963
PITHD1	PITHD1
LOC100509213	LOC100509213
LYPLA2	LYPLA2
GALE	GALE
HMGCL	HMGCL
FUCA1	FUCA1
CNR2	CNR2
MIR378F	MIR378F
PNRC2	PNRC2
SRSF10	SRSF10
MYOM3	MYOM3
IL22RA1	IL22RA1
IL28RA	IL28RA
LOC284632	LOC284632
GRHL3	GRHL3
C1orf201	C1orf201
NIPAL3	NIPAL3
RCAN3	RCAN3
LOC100506985	LOC100506985
C1orf130	C1orf130
SRRM1	SRRM1
CLIC4	CLIC4
RUNX3	RUNX3
MIR4425	MIR4425
SYF2	SYF2
C1orf63	C1orf63
RHD	RHD
TMEM50A	TMEM50A
RHCE	RHCE
TMEM57	TMEM57
LDLRAP1	LDLRAP1
MAN1C1	MAN1C1
LOC100507013	LOC100507013
SEPN1	SEPN1
FAM54B	FAM54B
LOC646471	LOC646471
C1orf135	C1orf135
PAQR7	PAQR7
STMN1	STMN1
MIR3917	MIR3917
PAFAH2	PAFAH2
LOC100652941	LOC100652941
EXTL1	EXTL1
SLC30A2	SLC30A2
TRIM63	TRIM63
PDIK1L	PDIK1L
GRRP1	GRRP1
ZNF593	ZNF593
CNKSR1	CNKSR1
CATSPER4	CATSPER4
CEP85	CEP85
SH3BGRL3	SH3BGRL3
UBXN11	UBXN11
CD52	CD52
AIM1L	AIM1L
ZNF683	ZNF683
LIN28A	LIN28A
DHDDS	DHDDS
HMGN2	HMGN2
RPS6KA1	RPS6KA1
MIR1976	MIR1976
ARID1A	ARID1A
PIGV	PIGV
ZDHHC18	ZDHHC18
SFN	SFN
GPN2	GPN2
GPATCH3	GPATCH3
NR0B2	NR0B2
NUDC	NUDC
C1orf172	C1orf172
OSTCP2	OSTCP2
TRNP1	TRNP1
FAM46B	FAM46B
SLC9A1	SLC9A1
WDTC1	WDTC1
TMEM222	TMEM222
LOC644961	LOC644961
SYTL1	SYTL1
MAP3K6	MAP3K6
FCN3	FCN3
CD164L2	CD164L2
GPR3	GPR3
WASF2	WASF2
AHDC1	AHDC1
FGR	FGR
IFI6	IFI6
FAM76A	FAM76A
STX12	STX12
PPP1R8	PPP1R8
SCARNA1	SCARNA1
C1orf38	C1orf38
RPA2	RPA2
SMPDL3B	SMPDL3B
XKR8	XKR8
EYA3	EYA3
LOC653566	LOC653566
PTAFR	PTAFR
DNAJC8	DNAJC8
ATPIF1	ATPIF1
SESN2	SESN2
MED18	MED18
PHACTR4	PHACTR4
RCC1	RCC1
SNHG3	SNHG3
SNORA73A	SNORA73A
RNU105A	RNU105A
TRNAU1AP	TRNAU1AP
SNHG12	SNHG12
SNORD99	SNORD99
SNORA61	SNORA61
SNORA44	SNORA44
SNORA16A	SNORA16A
RAB42	RAB42
